method_id,root_id,condition_id,condition_family,primary_recovery_axis,window_index,window_start,window_end,nominal_value,disturbed_value,directed_gap,within_tolerance
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,0,1,32,-0.06796875000000002,-0.06562500000000002,-0.0023437500000000056,True
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,1,33,64,-0.05312500000000002,-0.07500000000000001,0.02187499999999999,True
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,2,65,96,-0.04843750000000002,-0.048437500000000015,-6.938893903907228e-18,True
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,3,97,128,-0.06796875000000002,-0.06796875000000002,0.0,True
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,4,129,160,-0.06562500000000002,-0.05078125000000002,-0.014843749999999996,True
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,5,161,192,-0.048437500000000015,-0.06796875000000002,0.019531250000000007,True
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,6,193,224,-0.04843750000000002,-0.05312500000000002,0.004687499999999997,True
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,7,225,256,-0.06562500000000002,-0.06562500000000002,0.0,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,0,1,32,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,1,33,64,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,2,65,96,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,3,97,128,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,4,129,160,-0.10234375000000004,-0.10000000000000005,-0.0023437499999999917,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,5,161,192,-0.10234375000000004,-0.10234375000000005,1.3877787807814457e-17,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,6,193,224,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r07,action-failure-0.15,action-failure,False,7,225,256,-0.10234375000000004,-0.10234375000000004,0.0,True
dqn,t527-final-r07,action-remap-cycle-clockwise,action-remap,True,0,1,32,-0.10000000000000005,-0.19843750000000002,0.09843749999999997,True
dqn,t527-final-r07,action-remap-cycle-clockwise,action-remap,True,1,33,64,-0.10000000000000005,-0.21484375,0.11484374999999995,False
dqn,t527-final-r07,action-remap-cycle-clockwise,action-remap,True,2,65,96,-0.10000000000000005,-0.2078125,0.10781249999999996,False
dqn,t527-final-r07,action-remap-cycle-clockwise,action-remap,True,3,97,128,-0.10000000000000005,-0.19843750000000002,0.09843749999999997,True
dqn,t527-final-r07,action-remap-cycle-clockwise,action-remap,True,4,129,160,-0.10234375000000004,-0.19374999999999998,0.09140624999999994,True
